relative_time,BrightnessEV
24329,-1.5777203874418697
24396,-1.5571101077665837
24464,-1.4969891153290127
24529,-1.4487339467217917
24596,-1.4205370548911398
24664,-1.3928807119882745
24729,-1.36574458205076
24796,-1.3568114572807524
24863,-1.3568114572807524
24928,-1.3479333059342997
24995,-1.3479333059342997
25062,-1.3479333059342997
25129,-1.36574458205076
25196,-1.40204071127375
25264,-1.4112592413031289
25329,-1.40204071127375
25396,-1.3837785048810218
25462,-1.2872705240276754
25529,-1.1502713333042318
25596,-1.1087861072167688
25662,-1.0963464183981468
25729,-0.9828776480087933
25796,-0.8145934632346826
25863,-0.5997940629021598
25929,-0.3201924969802056
25996,0.009689761493581119
26062,0.3425236727656147
26129,0.416748267228151
26196,0.28558879742107246
26263,0.03934376583665872
26329,-0.3152065034584711
26396,-0.7182106334893742
26463,-1.0305461731725196
26529,-1.216746596703966
26595,-1.3257011166443027
26663,-1.4018275620081369
26729,-1.3878462948301427
26796,-1.3222539637740458
26862,-1.3831459638022996
26929,-1.499711758225409
26996,-1.5520637763644225
27062,-1.6275931108374182
27129,-1.664215743848645
27196,-1.6815629874125417
27262,-1.6901337292699996
27329,-1.6950124472411165
27396,-1.699790301144883
27462,-1.7037874797502546
27529,-1.6961024988173432
27596,-1.6953591267556378
27662,-1.6826551288599234
27729,-1.6820340407490442
27796,-1.6814227906250168
27862,-1.6744180656649537
27929,-1.668880371939044
27996,-1.6634940354589625
28062,-1.6634940354589625
28129,-1.6634940354589625
28196,-1.6634940354589625
28262,-1.6523534778537619
28329,-1.6523534778537619
28396,-1.6412982893447663
28462,-1.6303271715237628
28529,-1.5979056938313854
28596,-1.5766892079216894
28662,-1.5661968341040473
28729,-1.587258449631877
28796,-1.587258449631877
28862,-1.5766892079216894
28929,-1.5766892079216894
28996,-1.5454382739372499
29062,-1.5047962894399038
29129,-1.4555527704200546
29195,-1.3438044127675992
29262,-1.135562479774185
29329,-0.19090551361795988
29396,0.6586170941173003
29462,-1.44811169308226
29529,-1.71926112142118
29596,-1.7116835155886454
29662,-1.6980012808042069
29729,-1.7020090125792007
29796,-1.691704536081687
29862,-1.6929625439819878
29929,-1.69899787834556
29998,-1.6886571876886372
30062,-1.6926775366882527
30129,-1.6979466011611946
30196,-1.6972012149183726
30262,-1.708341772523573
30329,-1.7075228607442774
30396,-1.7184939785652802
30462,-1.7116546273107756
30529,-1.7114614076356762
30596,-1.7112712296712291
30662,-1.7053449475035731
30729,-1.711329426324762
30796,-1.7137715683228771
30862,-1.7137715683228771
30929,-1.7249988237461311
30996,-1.7249988237461311
31062,-1.7249988237461311
31129,-1.7249988237461311
31196,-1.7363141369739654
31262,-1.7363141369739654
31329,-1.7363141369739654
31395,-1.7363141369739654
31462,-1.7363141369739654
31529,-1.7363141369739654
31596,-1.7363141369739654
31662,-1.7363141369739654
31729,-1.7592145390840441
